Title,SensUs Sensor Board,,,,
Revision,v.0.2,,,,
Date,2017-07-05,,,,
Generated,tor  6 jul 2017 18:15:22,,,,
Company,UppSense Heart Failure Diagnostics,,,,
Comment 1,,,,,
Comment 2,,,,,
Comment 3,,,,,
Comment 4,,,,,
Total Parts,71,,,,
Total Unique Parts,34,,,,
,,,,,
,,,,,
,,,,,
Ref,Qty,Value,Footprint,Farnell,Samtec
C1 C4 C14 C15 C20 ,5,1u,Resistors_SMD:R_0805,2496946, 
C2 C5 C8 C11 C12 C13 C21 C23 ,8,100n,Resistors_SMD:R_0805,499687, 
C3 C6 C9 C10 C22 ,5,10n,Resistors_SMD:R_0805,1414662, 
C7 ,1,26f,Embedded Caps:EMBEDDED_CAP_1mm, , 
C16 ,1,100n,Resistors_SMD:R_0805,2502703, 
C17 C18 ,2,10u,Resistors_SMD:R_0805,1833812, 
C19 ,1,1u,Resistors_SMD:R_0805,1845751, 
D1 ,1,BPW34,Photodiodes:BPW34FA_w_Silks,1045425, 
D2 ,1,LED,LEDs:LED_D5.0mm, , 
D3 ,1,BPW34,Photodiodes:BPW34FA,1045425, 
IC1 IC1 IC2 IC3 IC4 IC21 IC22 IC33 ,8,TEST,Tespoints:TP_SMD_quadr_1mm, , 
J1 ,1,CONN_02X03,Pin_Headers:Pin_Header_Angled_2x03_Pitch2.54mm, ,TSW-103-08-G-D-RA
J2 ,1,CONN_02X07,Pin_Headers:Pin_Header_Angled_2x07_Pitch2.54mm, ,TSW-107-08-G-D-RA
J3 ,1,CONN_01X04,China Connectors:LED_CONN_1.25_PITCH, , 
J4 ,1,CONN_01X01,Guard Connector:GuardConnector, , 
P1 P2 P3 ,3,CONN_01X03,Samtec Connectors:Samtec-PHT-1-3-01-L-S, , 
Q1 Q3 Q5 Q7 ,4,DMP2035U,TO_SOT_Packages_SMD:SOT-23,2061419, 
Q2 Q4 Q6 Q8 ,4,TSM2314,TO_SOT_Packages_SMD:SOT-23,1864589, 
Q9 ,1,MMBT3904,TO_SOT_Packages_SMD:SOT-23,1757935, 
R1 ,1,100M,WithoutSilkscreen:R_0805_W_Silks,9236511, 
R2 R5 R6 ,3,2.4k,Resistors_SMD:R_0805,2502703, 
R3 R8 ,2,1k,Resistors_SMD:R_0805,9237496, 
R4 R10 R12 ,3,100k,Resistors_SMD:R_0805,2447551, 
R7 R13 ,2,1M,Resistors_SMD:R_0805,1576507, 
R9 ,1,100R,Resistors_SMD:R_0805,1632456, 
R11 ,1,10k,Resistors_SMD:R_0805,9237755, 
R14 ,1,1k,WithoutSilkscreen:R_0805_W_Silks,9237496, 
R15 ,1,100k,WithoutSilkscreen:R_0805_W_Silks,2447551, 
RV1 ,1,T73YE103KT20,MyPotis:Vishay_T73YE103KT20,2550676, 
TP1 ,1,DAC2,Tespoints:TP_SMD_quadr_1mm, , 
U1 ,1,LTC6268IS8#PBF,WithoutSilkscreen:SOIC-8-N-W-Silks,2464182, 
U2 ,1,ADA4522-2ARZ,SMD_Packages:SOIC-8-N,2505560, 
U3 ,1,ICL7660S,SMD_Packages:SOIC-8-N,1561969, 
U4 ,1,AD8616,SMD_Packages:SOIC-8-N,1581952, 
,,,,,
,,,,,
,,,,,
,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,
Generated tor  6 jul 2017 18:15:22,,,,,
